Autonomous,Driving_Expertise,Reaction_Time,Fatigue,Decision_Making,Consistency,Weather,Road_Condition,Pedestrians,Animals,Road_Type,Crash_Probability,Crash_Severity
False,0.6718949526866381,0.5929911281272038,0.604518408901459,0.583637414327321,0.5948863704855583,Snowy,Dry,False,True,Curved,1.0,10.0
True,1.0,0.21820708503919084,0.0,1.0,1.0,Rainy,Wet,True,False,Straight,0.09858066660000493,1.1292133320000985
False,0.970419170910664,0.9212468400899636,0.32056141098257185,0.8367530671928285,0.5507059308855898,Rainy,Wet,True,False,Curved,0.9581385967328945,10.0
True,1.0,0.3557880140546026,0.0,1.0,1.0,Clear,Icy,False,True,Turning,0.1308848376345768,1.619296752691536
True,1.0,0.18040527868183143,0.0,1.0,1.0,Foggy,Icy,True,False,Banked,0.1950598891020708,2.1851977820414157
True,1.0,0.45558537055740744,0.0,1.0,1.0,Foggy,Dry,True,False,Turning,0.14563181682085047,1.8986363364170094
False,0.9746175974693405,1.4341730032846889,0.03473448610988861,0.8447621659967512,0.5387741628240257,Clear,Wet,True,True,Curved,1.0,10.0
False,0.9900689226343035,0.5471990367824837,0.863567102453891,0.8891810094109334,0.6952021528636574,Foggy,Icy,False,False,Straight,1.0,10.0
False,0.8608728452477182,1.4255638403589583,0.9161866131106602,0.6677517777196669,0.5996841652709715,Foggy,Wet,False,False,Turning,1.0,10.0
False,0.6933296133994806,1.1465734874683724,0.7769207470326852,0.6911538837934849,0.903446641056173,Rainy,Wet,False,False,Banked,1.0,10.0
True,1.0,0.2373030194209537,0.0,1.0,1.0,Snowy,Dry,False,True,Straight,0.09237370627631608,1.0698741255263216
True,1.0,0.425906379049094,0.0,1.0,1.0,Foggy,Dry,True,False,Banked,0.11982195731323737,1.5384391462647473
False,0.6985374439585471,1.297511348729503,0.18172385627658416,0.9267242808738274,0.6197645627466821,Rainy,Wet,True,False,Banked,1.0,10.0
True,1.0,0.20627803558585836,0.0,1.0,1.0,Snowy,Wet,True,True,Banked,0.21487769988189695,2.4442739976379384
True,1.0,0.19912494955253163,0.0,1.0,1.0,Snowy,Dry,False,True,Banked,0.1095877732077058,1.2413554641541156
False,0.6067454841673162,1.2524712098582647,0.4528051805985811,0.7063246228546303,0.8288927404966946,Rainy,Wet,True,False,Banked,1.0,10.0
True,1.0,0.2982729671601852,0.0,1.0,1.0,Snowy,Dry,True,True,Straight,0.1261784047927063,1.5126880958541262
False,0.8649447319991246,0.780624377877202,0.9161502415875494,0.7784906934233431,0.6591678230331034,Foggy,Dry,True,True,Straight,1.0,10.0
False,0.6298807943875315,1.2973839930024682,0.6504868484310322,0.8393563050704275,0.5243047144726984,Rainy,Wet,False,True,Turning,1.0,10.0
False,0.9376560402735019,1.2664625256647488,0.22256439853412868,0.7223547863319482,0.7264831741603348,Snowy,Dry,True,True,Turning,1.0,10.0
True,1.0,0.2872122317654052,0.0,1.0,1.0,Snowy,Wet,False,False,Curved,0.16029185409989757,1.9098370819979513
True,1.0,0.4254685593823444,0.0,1.0,1.0,Clear,Wet,True,True,Banked,0.11498221022642263,1.4759642045284525
